answer,first,team,note,hof
RUTH,Babe,Yankees,who hit 714 career home runs,1
AARON,Hank,Braves,the longtime home run king with 755,1
MAYS,Willie,Giants,the 'Say Hey Kid',1
BONDS,Barry,Giants,the single-season and career home run record holder,0
COBB,Ty,Tigers,owner of a .366 career average,1
GEHRIG,Lou,Yankees,the 'Iron Horse',1
MANTLE,Mickey,Yankees,a switch-hitting Triple Crown winner,1
JETER,Derek,Yankees,the Yankees' longtime captain,1
RIVERA,Mariano,Yankees,the all-time saves leader,1
BERRA,Yogi,Yankees,a catcher famous for his malaprops,1
RYAN,Nolan,Astros,who threw a record seven no-hitters,1
CLEMENTE,Roberto,Pirates,"who reached exactly 3,000 hits",1
ROSE,Pete,Reds,"baseball's all-time hits leader with 4,256",0
BENCH,Johnny,Reds,a Big Red Machine catcher,1
MUSIAL,Stan,Cardinals,'Stan the Man',1
GIBSON,Bob,Cardinals,who posted a 1.12 ERA in 1968,1
KOUFAX,Sandy,Dodgers,a dominant lefty ace,1
ROBINSON,Jackie,Dodgers,who broke the color barrier in 1947,1
SEAVER,Tom,Mets,'Tom Terrific',1
PIAZZA,Mike,Mets,a slugging catcher,1
WILLIAMS,Ted,Red Sox,the last man to hit .400,1
ORTIZ,David,Red Sox,'Big Papi',1
RIPKEN,Cal,Orioles,"who played 2,632 straight games",1
GWYNN,Tony,Padres,an eight-time batting champ,1
BANKS,Ernie,Cubs,'Mr. Cub',1
SCHMIDT,Mike,Phillies,a slugging third baseman,1
BRETT,George,Royals,a lifetime .305 hitter,1
FISK,Carlton,Red Sox,who waved his 1975 Series homer fair,1
MADDUX,Greg,Braves,a four-time Cy Young winner,1
JONES,Chipper,Braves,a switch-hitting third baseman,1
GRIFFEY,Ken,Mariners,'The Kid',1
PUJOLS,Albert,Cardinals,a 700-home-run slugger,0
TROUT,Mike,Angels,a three-time AL MVP,0
OHTANI,Shohei,Dodgers,a two-way MVP phenom,0
OTT,Mel,Giants,a 500-home-run outfielder,1
FOXX,Jimmie,Athletics,'Double X',1
YOUNT,Robin,Brewers,a two-time AL MVP,1
CAREW,Rod,Twins,a seven-time batting champ,1
THOMAS,Frank,White Sox,'The Big Hurt',1
SOTO,Juan,Padres,a young slugging outfielder,0
Brady,Tom,Patriots,a 2000s star,1
Montana,Joe,49ers,a 1970s star,1
Manning,Peyton,Colts,a 1990s star,1
Elway,John,Broncos,a 1980s star,1
Marino,Dan,Dolphins,a 1980s star,1
Favre,Brett,Packers,a 1990s star,1
Rice,Jerry,49ers,"nicknamed ""World""",1
Payton,Walter,Bears,"nicknamed ""Sweetness""",1
Smith,Emmitt,Cowboys,a 1990s star,1
Sanders,Barry,Lions,a 1980s star,1
Brown,Jim,Browns,a 1950s star,1
Taylor,Lawrence,Giants,"nicknamed ""LT""",1
White,Reggie,Eagles,a 1980s star,1
Lewis,Ray,Ravens,a 1990s star,1
Rodgers,Aaron,Packers,a 2000s star,0
Mahomes,Patrick,Chiefs,a 2010s star,0
Brees,Drew,Chargers,a 2000s star,1
Allen,Josh,Bills,a 2010s star,0
Jackson,Lamar,Ravens,a 2010s star,0
Unitas,Johnny,Colts,a 1950s star,1
Moss,Randy,Vikings,a 1990s star,1
Kelce,Travis,Chiefs,a 2010s star,0
Donald,Aaron,Rams,a 2010s star,0
Wilson,Russell,Seahawks,a 2010s star,0
Burrow,Joe,Bengals,a 2020s star,0
Herbert,Justin,Chargers,a 2020s star,0
Hurts,Jalen,Eagles,a 2020s star,0
Prescott,Dak,Cowboys,a 2010s star,0
Stafford,Matthew,Lions,a 2000s star,0
Starr,Bart,Packers,a 1950s star,1
Bradshaw,Terry,Steelers,a 1970s star,1
Staubach,Roger,Cowboys,a 1960s star,1
Young,Steve,Buccaneers,a 1980s star,1
Aikman,Troy,Cowboys,a 1980s star,1
Moon,Warren,Titans,a 1980s star,1
Warner,Kurt,Rams,a 1990s star,1
Rivers,Philip,Chargers,a 2000s star,0
Newton,Cam,Panthers,a 2010s star,0
Vick,Michael,Falcons,a 2000s star,0
Faulk,Marshall,Colts,a 1990s star,1
Peterson,Adrian,Vikings,a 2000s star,0
Dorsett,Tony,Cowboys,a 1970s star,1
Campbell,Earl,Titans,"nicknamed ""The Tyler Rose""",1
Simpson,O.J.,Bills,a 1960s star,1
Harris,Franco,Steelers,a 1970s star,1
Bettis,Jerome,Rams,a 1990s star,1
Henry,Derrick,Titans,"nicknamed ""King Henry""",0
Barkley,Saquon,Giants,a 2010s star,0
Lynch,Marshawn,Bills,"nicknamed ""Beast Mode""",0
Owens,Terrell,49ers,a 1990s star,1
Johnson,Calvin,Lions,a 2000s star,1
Harrison,Marvin,Colts,a 1990s star,1
Carter,Cris,Eagles,a 1980s star,1
Irvin,Michael,Cowboys,a 1980s star,1
Jones,Julio,Falcons,a 2010s star,0
Adams,Davante,Packers,a 2010s star,0
Hill,Tyreek,Chiefs,a 2010s star,0
Chase,Ja'Marr,Bengals,a 2020s star,0
Gonzalez,Tony,Chiefs,a 1990s star,1
Sharpe,Shannon,Broncos,a 1990s star,1
Strahan,Michael,Giants,a 1990s star,1
Watt,J.J.,Texans,a 2010s star,1
Garrett,Myles,Browns,a 2010s star,0
Parsons,Micah,Cowboys,a 2020s star,0
Miller,Von,Broncos,a 2010s star,0
Butkus,Dick,Bears,"nicknamed ""The Enforcer""",1
Seau,Junior,Chargers,a 1990s star,1
Urlacher,Brian,Bears,a 2000s star,1
Lott,Ronnie,49ers,a 1980s star,1
Reed,Ed,Ravens,"nicknamed ""The Ball Hawk""",1
Polamalu,Troy,Steelers,"nicknamed ""The Tasmanian Devil""",1
Woodson,Charles,Raiders,a 1990s star,1
Revis,Darrelle,Jets,a 2000s star,1
Sayers,Gale,Bears,"nicknamed ""The Kansas Comet""",1
Thorpe,Jim,Cardinals,a 1910s star,1
Greene,Joe,Steelers,"nicknamed ""Mean Joe""",1
Lawrence,Trevor,Jaguars,a 2020s star,0
Daniels,Jayden,Commanders,a 2020s star,0
Williams,Caleb,Bears,a 2020s star,0
Robinson,Bijan,Falcons,a 2020s star,0
Gibbs,Jahmyr,Lions,a 2020s star,0
Kamara,Alvin,Saints,a 2010s star,0
Lamb,CeeDee,Cowboys,a 2020s star,0
Metcalf,DK,Seahawks,a 2010s star,0
Evans,Mike,Buccaneers,a 2010s star,0
Crosby,Maxx,Raiders,a 2010s star,0
Surtain,Patrick,Broncos,a 2020s star,0
Ramsey,Jalen,Jaguars,a 2010s star,0
Hunter,Travis,Jaguars,a 2020s star,0
Hopkins,DeAndre,Texans,a 2010s star,0
Beckham,Odell,Giants,a 2010s star,0
Edelman,Julian,Patriots,a 2000s star,0
Ware,DeMarcus,Cowboys,a 2000s star,0
Stroud,C.J.,Texans,a 2020s star,0
Maye,Drake,Patriots,a 2020s star,0
Darnold,Sam,Jets,a 2010s star,0
Romo,Tony,Cowboys,a 2000s star,0
Thomas,Thurman,Bills,a 1980s star,1
Martin,Curtis,Patriots,a 1990s star,1
Davis,Terrell,Broncos,a 1990s star,1
Gore,Frank,49ers,a 2000s star,0
Largent,Steve,Seahawks,a 1970s star,1
Kupp,Cooper,Rams,a 2010s star,0
Diggs,Stefon,Vikings,a 2010s star,0
Gates,Antonio,Chargers,a 2000s star,1
Kittle,George,49ers,a 2010s star,0
Mack,Khalil,Raiders,a 2010s star,0
Brooks,Derrick,Buccaneers,a 1990s star,1
Willis,Patrick,49ers,a 2000s star,1
Kuechly,Luke,Panthers,a 2010s star,1
Wagner,Bobby,Seahawks,a 2010s star,0
Dawkins,Brian,Eagles,a 1990s star,1
Bailey,Champ,Commanders,a 1990s star,1
Sherman,Richard,Seahawks,a 2010s star,0
Munoz,Anthony,Bengals,a 1980s star,1
Ogden,Jonathan,Ravens,a 1990s star,1
Pace,Orlando,Rams,a 1990s star,1
Matthews,Bruce,Titans,a 1980s star,1
Webster,Mike,Steelers,a 1970s star,1
Andersen,Morten,Saints,a 1980s star,1
Tucker,Justin,Ravens,a 2010s star,0
Guy,Ray,Raiders,a 1970s star,1
Hester,Devin,Bears,a 2000s star,1
Grange,Red,Bears,"nicknamed ""The Galloping Ghost""",1
Baugh,Sammy,Commanders,a 1930s star,1
Graham,Otto,Browns,a 1940s star,1
Page,Alan,Vikings,a 1960s star,1
Long,Howie,Raiders,a 1980s star,1
Randle,John,Vikings,a 1990s star,1
Sapp,Warren,Buccaneers,a 1990s star,1
